,Unnamed: 0,Total,Q1aM4,Q1bM6,Q2aM6,Q2bM4,Q3aM5,Q3bM5,Q4aM3,Q4bM7,Q5M10,Q6aM4,Q6bM6,Grade
0,0,37,4.0,5.0,6.0,4.0,2.0,1.0,0.0,5.0,8.0,4.0,6.0,F
1,1,32,4.0,3.0,4.0,3.0,0.0,0.0,3.0,6.0,9.0,0.0,0.0,F
2,2,33,4.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,8.0,0.0,0.0,F
3,3,24,4.0,6.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,F
4,4,36,3.0,6.0,4.0,4.0,5.0,4.0,0.0,0.0,10.0,0.0,0.0,F
5,5,20,4.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
6,6,25,3.0,4.0,0.0,2.0,5.0,5.0,0.0,0.0,6.0,0.0,0.0,F
7,7,34,4.0,6.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,F
8,8,27,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,F
9,9,35,2.0,4.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,4.0,6.0,F
10,10,37,3.0,5.0,6.0,4.0,0.0,0.0,3.0,6.0,0.0,4.0,6.0,F
11,11,8,2.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,F
12,12,34,4.0,4.0,5.0,3.0,2.0,2.0,2.0,1.0,9.0,2.0,2.0,F
13,13,32,3.0,3.0,6.0,4.0,3.0,5.0,0.0,0.0,9.0,0.0,0.0,F
14,14,30,4.0,6.0,6.0,2.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,F
15,15,32,3.0,0.0,2.0,1.0,5.0,5.0,3.0,7.0,0.0,4.0,6.0,F
16,16,30,4.0,0.0,6.0,4.0,5.0,2.0,0.0,0.0,8.0,0.0,0.0,F
17,17,36,3.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,9.0,4.0,6.0,F
18,18,24,3.0,3.0,5.0,3.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,F
19,19,26,3.0,0.0,6.0,4.0,0.0,2.0,2.0,1.0,7.0,3.0,0.0,F
20,20,29,2.0,6.0,2.0,2.0,5.0,5.0,0.0,0.0,7.0,0.0,0.0,F
21,21,34,4.0,6.0,5.0,3.0,5.0,5.0,0.0,3.0,0.0,4.0,0.0,F
22,22,14,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
23,23,9,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,F
24,24,33,1.0,6.0,6.0,3.0,5.0,5.0,3.0,3.0,7.0,3.0,0.0,F
25,25,22,4.0,2.0,5.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,F
26,26,39,4.0,6.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,6.0,F
